,No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
148,149,CELH,3.77%,8.50%,72.40%,24.47%,155.19%,38.83%,4.20%,4.35%,1.50,1.07M,0.8,144.44,-0.21%,861068
149,150,CF,4.86%,11.15%,0.48%,-23.37%,-22.59%,-16.35%,2.82%,3.50%,2.50,2.77M,2.12,71.27,1.70%,5873223
150,151,CFG,-3.81%,3.34%,-11.67%,-30.21%,-24.88%,-30.76%,6.31%,4.36%,2.30,9.37M,1.25,27.26,-1.55%,11758540
151,152,CFLT,-4.65%,29.49%,58.55%,45.88%,77.90%,55.98%,5.56%,6.08%,2.30,3.90M,2.04,34.69,0.58%,7960687
152,153,CG,4.43%,16.01%,3.16%,3.50%,-8.81%,5.16%,2.47%,2.49%,2.30,3.09M,1.13,31.38,-0.73%,3510520
153,154,CHD,2.19%,1.45%,12.52%,16.97%,17.99%,19.29%,1.11%,1.28%,2.80,1.44M,1.27,96.16,0.33%,1825099
154,155,CHDN,-2.30%,-4.30%,10.48%,20.48%,46.86%,29.02%,1.64%,2.28%,1.70,403.55K,1.59,136.39,-0.95%,642757
155,156,CHK,3.08%,5.24%,15.19%,-15.54%,-0.79%,-11.25%,2.42%,2.94%,2.00,1.37M,0.77,82.36,1.02%,1056924
156,157,CHKP,3.78%,9.69%,1.35%,-1.66%,8.07%,3.77%,1.48%,1.64%,2.60,913.53K,1.74,130.91,0.35%,1587270
157,158,CHRW,5.45%,-6.05%,-1.35%,-1.65%,-8.26%,3.34%,2.34%,2.44%,3.20,1.16M,1.58,94.62,-0.78%,1840603
158,159,CHT,0.34%,-0.27%,6.46%,12.59%,-3.04%,11.72%,0.62%,0.61%,-,95.77K,1.45,40.88,-0.29%,138395
159,160,CHTR,3.88%,0.80%,-2.51%,3.93%,-24.00%,0.63%,2.36%,2.67%,2.60,1.05M,1.64,341.24,-0.47%,1720985
160,161,CHWY,7.72%,16.55%,2.67%,-7.49%,35.57%,6.90%,4.40%,4.82%,2.2,4.59M,0.87,39.64,-2.17%,3982761
161,162,CI,1.11%,2.13%,-0.23%,-19.68%,8.79%,-18.87%,2.61%,2.38%,2.2,1.88M,1.54,268.83,-0.24%,2894785
162,163,CINF,-1.01%,-1.74%,-3.82%,-5.18%,-14.14%,-1.46%,2.07%,2.08%,2.7,673.84K,3.73,100.9,0.50%,2512223
163,164,CL,2.56%,-3.39%,7.73%,-1.97%,4.88%,-1.28%,1.24%,1.32%,2.6,5.12M,1.44,77.78,1.28%,7364899
164,165,CLX,-0.08%,-6.25%,1.66%,5.58%,27.13%,11.55%,1.71%,1.61%,3.5,1.21M,1.34,156.54,1.02%,1620715
